2023-10-19 14:09:23,736 using args:
2023-10-19 14:09:23,736 Namespace(cuda=False)
2023-10-19 14:13:18,285 [2,   100] Training loss: 0.408
2023-10-19 14:13:21,194 [2,   120] Training loss: 0.254
2023-10-19 14:13:24,115 [2,   140] Training loss: 0.314
2023-10-19 14:13:27,026 [2,   160] Training loss: 0.364
2023-10-19 14:13:29,959 [2,   180] Training loss: 0.396
2023-10-19 14:13:32,878 [2,   200] Training loss: 0.257
2023-10-19 14:13:35,801 [2,   220] Training loss: 0.459
2023-10-19 14:13:38,711 [2,   240] Training loss: 0.536
2023-10-19 14:13:41,639 [2,   260] Training loss: 0.355
2023-10-19 14:13:44,547 [2,   280] Training loss: 0.312
2023-10-19 14:13:47,447 [2,   300] Training loss: 0.395
2023-10-19 14:13:50,367 [2,   320] Training loss: 0.319
2023-10-19 14:13:53,302 [2,   340] Training loss: 0.305
2023-10-19 14:13:56,372 [2,   360] Training loss: 0.428
2023-10-19 14:13:59,330 [2,   380] Training loss: 0.325
2023-10-19 14:14:02,293 [2,   400] Training loss: 0.347
2023-10-19 14:14:05,212 [2,   420] Training loss: 0.300
2023-10-19 14:14:08,114 [2,   440] Training loss: 0.359
2023-10-19 14:14:11,002 [2,   460] Training loss: 0.343
2023-10-19 14:14:13,892 [2,   480] Training loss: 0.317
2023-10-19 14:14:16,848 [2,   500] Training loss: 0.381
2023-10-19 14:14:19,801 [2,   520] Training loss: 0.294
2023-10-19 14:14:22,736 [2,   540] Training loss: 0.475
2023-10-19 14:14:25,683 [2,   560] Training loss: 0.245
2023-10-19 14:14:28,634 [2,   580] Training loss: 0.339
2023-10-19 14:14:31,546 [2,   600] Training loss: 0.281
2023-10-19 14:15:28,208 [2,    20] Validation loss: 0.223
2023-10-19 14:15:31,042 [2,    40] Validation loss: 0.093
2023-10-19 14:15:34,023 [2,    60] Validation loss: 0.145
2023-10-19 14:16:38,039 [3,    20] Training loss: 0.185
2023-10-19 14:16:40,987 [3,    40] Training loss: 0.247
2023-10-19 14:16:43,925 [3,    60] Training loss: 0.121
2023-10-19 14:16:46,822 [3,    80] Training loss: 0.234
2023-10-19 14:16:49,732 [3,   100] Training loss: 0.168
2023-10-19 14:16:52,776 [3,   120] Training loss: 0.239
2023-10-19 14:16:55,694 [3,   140] Training loss: 0.293
2023-10-19 14:16:58,642 [3,   160] Training loss: 0.262
2023-10-19 14:17:01,572 [3,   180] Training loss: 0.297
2023-10-19 14:17:04,526 [3,   200] Training loss: 0.231
2023-10-19 14:17:07,469 [3,   220] Training loss: 0.204
2023-10-19 14:17:10,387 [3,   240] Training loss: 0.288
2023-10-19 14:17:13,319 [3,   260] Training loss: 0.260
2023-10-19 14:17:16,234 [3,   280] Training loss: 0.205
2023-10-19 14:17:19,168 [3,   300] Training loss: 0.293
2023-10-19 14:17:22,083 [3,   320] Training loss: 0.267
2023-10-19 14:17:25,008 [3,   340] Training loss: 0.296
2023-10-19 14:17:27,933 [3,   360] Training loss: 0.347
2023-10-19 14:17:30,864 [3,   380] Training loss: 0.170
2023-10-19 14:17:33,793 [3,   400] Training loss: 0.372
2023-10-19 14:17:36,731 [3,   420] Training loss: 0.456
2023-10-19 14:17:39,716 [3,   440] Training loss: 0.185
2023-10-19 14:17:42,648 [3,   460] Training loss: 0.112
2023-10-19 14:17:45,627 [3,   480] Training loss: 0.210
2023-10-19 14:17:48,587 [3,   500] Training loss: 0.222
2023-10-19 14:17:51,528 [3,   520] Training loss: 0.223
2023-10-19 14:17:54,477 [3,   540] Training loss: 0.316
2023-10-19 14:17:57,444 [3,   560] Training loss: 0.279
2023-10-19 14:18:00,404 [3,   580] Training loss: 0.218
2023-10-19 14:18:03,355 [3,   600] Training loss: 0.257
2023-10-19 14:18:59,815 [3,    20] Validation loss: 0.084
2023-10-19 14:19:02,677 [3,    40] Validation loss: 0.069
2023-10-19 14:19:05,557 [3,    60] Validation loss: 0.196
2023-10-19 14:20:09,534 [4,    20] Training loss: 0.122
2023-10-19 14:20:12,467 [4,    40] Training loss: 0.309
2023-10-19 14:20:15,409 [4,    60] Training loss: 0.174
2023-10-19 14:20:18,352 [4,    80] Training loss: 0.203
2023-10-19 14:20:21,306 [4,   100] Training loss: 0.118
2023-10-19 14:20:24,249 [4,   120] Training loss: 0.149
2023-10-19 14:20:27,238 [4,   140] Training loss: 0.170
2023-10-19 14:20:30,173 [4,   160] Training loss: 0.069
2023-10-19 14:20:33,115 [4,   180] Training loss: 0.203
2023-10-19 14:20:36,092 [4,   200] Training loss: 0.146
2023-10-19 14:20:39,013 [4,   220] Training loss: 0.303
2023-10-19 14:20:41,933 [4,   240] Training loss: 0.171
2023-10-19 14:20:44,872 [4,   260] Training loss: 0.263
2023-10-19 14:20:47,809 [4,   280] Training loss: 0.227
2023-10-19 14:20:50,756 [4,   300] Training loss: 0.179
2023-10-19 14:20:53,708 [4,   320] Training loss: 0.332
2023-10-19 14:20:56,648 [4,   340] Training loss: 0.225
2023-10-19 14:20:59,571 [4,   360] Training loss: 0.237
2023-10-19 14:21:02,501 [4,   380] Training loss: 0.304
2023-10-19 14:21:05,425 [4,   400] Training loss: 0.205
2023-10-19 14:21:08,363 [4,   420] Training loss: 0.203
2023-10-19 14:21:11,337 [4,   440] Training loss: 0.224
2023-10-19 14:21:14,294 [4,   460] Training loss: 0.175
2023-10-19 14:21:17,273 [4,   480] Training loss: 0.189
2023-10-19 14:21:20,262 [4,   500] Training loss: 0.298
2023-10-19 14:21:23,210 [4,   520] Training loss: 0.137
2023-10-19 14:21:26,170 [4,   540] Training loss: 0.113
2023-10-19 14:21:29,164 [4,   560] Training loss: 0.120
2023-10-19 14:21:32,201 [4,   580] Training loss: 0.315
2023-10-19 14:21:35,201 [4,   600] Training loss: 0.274
2023-10-19 14:22:31,899 [4,    20] Validation loss: 0.089
2023-10-19 14:22:34,798 [4,    40] Validation loss: 0.126
2023-10-19 14:22:37,702 [4,    60] Validation loss: 0.049
2023-10-19 14:23:41,784 [5,    20] Training loss: 0.243
2023-10-19 14:23:44,725 [5,    40] Training loss: 0.116
2023-10-19 14:23:47,763 [5,    60] Training loss: 0.119
2023-10-19 14:23:50,752 [5,    80] Training loss: 0.114
2023-10-19 14:23:53,748 [5,   100] Training loss: 0.251
2023-10-19 14:23:56,711 [5,   120] Training loss: 0.210
2023-10-19 14:23:59,664 [5,   140] Training loss: 0.113
2023-10-19 14:24:02,616 [5,   160] Training loss: 0.155
2023-10-19 14:24:05,631 [5,   180] Training loss: 0.222
2023-10-19 14:24:08,619 [5,   200] Training loss: 0.122
2023-10-19 14:24:11,588 [5,   220] Training loss: 0.136
2023-10-19 14:24:14,543 [5,   240] Training loss: 0.171
2023-10-19 14:24:17,495 [5,   260] Training loss: 0.277
2023-10-19 14:24:20,434 [5,   280] Training loss: 0.172
2023-10-19 14:24:23,377 [5,   300] Training loss: 0.202
2023-10-19 14:24:26,319 [5,   320] Training loss: 0.255
2023-10-19 14:24:29,254 [5,   340] Training loss: 0.131
2023-10-19 14:24:32,197 [5,   360] Training loss: 0.190
2023-10-19 14:24:35,153 [5,   380] Training loss: 0.234
2023-10-19 14:24:38,089 [5,   400] Training loss: 0.130
2023-10-19 14:24:41,051 [5,   420] Training loss: 0.204
2023-10-19 14:24:43,999 [5,   440] Training loss: 0.162
2023-10-19 14:24:46,947 [5,   460] Training loss: 0.097
2023-10-19 14:24:49,898 [5,   480] Training loss: 0.039
2023-10-19 14:24:52,878 [5,   500] Training loss: 0.145
2023-10-19 14:24:55,822 [5,   520] Training loss: 0.192
2023-10-19 14:24:58,784 [5,   540] Training loss: 0.173
2023-10-19 14:25:01,747 [5,   560] Training loss: 0.227
2023-10-19 14:25:04,731 [5,   580] Training loss: 0.060
2023-10-19 14:25:07,682 [5,   600] Training loss: 0.205
2023-10-19 14:26:04,410 [5,    20] Validation loss: 0.156
2023-10-19 14:26:07,390 [5,    40] Validation loss: 0.110
2023-10-19 14:26:10,354 [5,    60] Validation loss: 0.085
2023-10-19 14:27:15,023 [6,    20] Training loss: 0.094
2023-10-19 14:27:18,157 [6,    40] Training loss: 0.161
2023-10-19 14:27:21,218 [6,    60] Training loss: 0.219
2023-10-19 14:27:24,307 [6,    80] Training loss: 0.074
2023-10-19 14:27:27,538 [6,   100] Training loss: 0.157
2023-10-19 14:27:30,738 [6,   120] Training loss: 0.190
2023-10-19 14:27:33,964 [6,   140] Training loss: 0.109
2023-10-19 14:27:37,022 [6,   160] Training loss: 0.124
2023-10-19 14:27:40,039 [6,   180] Training loss: 0.119
2023-10-19 14:27:43,072 [6,   200] Training loss: 0.171
2023-10-19 14:27:46,056 [6,   220] Training loss: 0.194
2023-10-19 14:27:49,051 [6,   240] Training loss: 0.078
2023-10-19 14:27:52,057 [6,   260] Training loss: 0.181
2023-10-19 14:27:55,255 [6,   280] Training loss: 0.215
2023-10-19 14:27:58,225 [6,   300] Training loss: 0.085
2023-10-19 14:28:01,186 [6,   320] Training loss: 0.211
2023-10-19 14:28:04,142 [6,   340] Training loss: 0.321
2023-10-19 14:28:07,076 [6,   360] Training loss: 0.137
2023-10-19 14:28:10,029 [6,   380] Training loss: 0.105
2023-10-19 14:28:12,974 [6,   400] Training loss: 0.230
2023-10-19 14:28:15,928 [6,   420] Training loss: 0.111
2023-10-19 14:28:18,875 [6,   440] Training loss: 0.087
2023-10-19 14:28:21,816 [6,   460] Training loss: 0.148
2023-10-19 14:28:24,895 [6,   480] Training loss: 0.179
2023-10-19 14:28:27,946 [6,   500] Training loss: 0.108
2023-10-19 14:28:30,896 [6,   520] Training loss: 0.152
2023-10-19 14:28:33,918 [6,   540] Training loss: 0.116
2023-10-19 14:28:36,878 [6,   560] Training loss: 0.102
2023-10-19 14:28:39,851 [6,   580] Training loss: 0.058
2023-10-19 14:28:42,812 [6,   600] Training loss: 0.145
2023-10-19 14:29:39,597 [6,    20] Validation loss: 0.097
2023-10-19 14:29:42,619 [6,    40] Validation loss: 0.091
2023-10-19 14:29:45,633 [6,    60] Validation loss: 0.029
2023-10-19 14:30:49,614 [7,    20] Training loss: 0.163
2023-10-19 14:30:52,555 [7,    40] Training loss: 0.132
2023-10-19 14:30:55,479 [7,    60] Training loss: 0.086
2023-10-19 14:30:58,480 [7,    80] Training loss: 0.065
2023-10-19 14:31:01,446 [7,   100] Training loss: 0.179
2023-10-19 14:31:04,372 [7,   120] Training loss: 0.148
2023-10-19 14:31:07,380 [7,   140] Training loss: 0.160
2023-10-19 14:31:10,392 [7,   160] Training loss: 0.156
2023-10-19 14:31:13,397 [7,   180] Training loss: 0.159
2023-10-19 14:31:16,371 [7,   200] Training loss: 0.222
2023-10-19 14:31:19,302 [7,   220] Training loss: 0.114
2023-10-19 14:31:22,247 [7,   240] Training loss: 0.072
2023-10-19 14:31:25,180 [7,   260] Training loss: 0.161
2023-10-19 14:31:28,133 [7,   280] Training loss: 0.149
2023-10-19 14:31:31,053 [7,   300] Training loss: 0.120
2023-10-19 14:31:33,999 [7,   320] Training loss: 0.077
2023-10-19 14:31:36,926 [7,   340] Training loss: 0.188
2023-10-19 14:31:39,868 [7,   360] Training loss: 0.173
2023-10-19 14:31:42,813 [7,   380] Training loss: 0.158
2023-10-19 14:31:45,808 [7,   400] Training loss: 0.152
2023-10-19 14:31:48,765 [7,   420] Training loss: 0.241
2023-10-19 14:31:51,710 [7,   440] Training loss: 0.126
2023-10-19 14:31:54,652 [7,   460] Training loss: 0.166
2023-10-19 14:31:57,577 [7,   480] Training loss: 0.118
2023-10-19 14:32:00,630 [7,   500] Training loss: 0.156
2023-10-19 14:32:03,609 [7,   520] Training loss: 0.074
2023-10-19 14:32:06,567 [7,   540] Training loss: 0.124
2023-10-19 14:32:09,481 [7,   560] Training loss: 0.175
2023-10-19 14:32:12,408 [7,   580] Training loss: 0.153
2023-10-19 14:32:15,346 [7,   600] Training loss: 0.124
2023-10-19 14:33:12,183 [7,    20] Validation loss: 0.077
2023-10-19 14:33:15,240 [7,    40] Validation loss: 0.083
2023-10-19 14:33:18,280 [7,    60] Validation loss: 0.082
2023-10-19 14:34:22,523 [8,    20] Training loss: 0.118
2023-10-19 14:34:25,609 [8,    40] Training loss: 0.115
2023-10-19 14:34:28,609 [8,    60] Training loss: 0.112
2023-10-19 14:34:31,686 [8,    80] Training loss: 0.125
2023-10-19 14:34:34,772 [8,   100] Training loss: 0.096
2023-10-19 14:34:37,727 [8,   120] Training loss: 0.173
2023-10-19 14:34:40,660 [8,   140] Training loss: 0.150
2023-10-19 14:34:43,614 [8,   160] Training loss: 0.078
2023-10-19 14:34:46,644 [8,   180] Training loss: 0.066
2023-10-19 14:34:49,728 [8,   200] Training loss: 0.129
2023-10-19 14:34:52,769 [8,   220] Training loss: 0.111
2023-10-19 14:34:55,773 [8,   240] Training loss: 0.142
2023-10-19 14:34:58,810 [8,   260] Training loss: 0.141
2023-10-19 14:35:01,895 [8,   280] Training loss: 0.050
2023-10-19 14:35:04,888 [8,   300] Training loss: 0.129
2023-10-19 14:35:07,843 [8,   320] Training loss: 0.136
2023-10-19 14:35:10,890 [8,   340] Training loss: 0.083
2023-10-19 14:35:14,007 [8,   360] Training loss: 0.109
2023-10-19 14:35:17,056 [8,   380] Training loss: 0.119
2023-10-19 14:35:20,045 [8,   400] Training loss: 0.123
2023-10-19 14:35:23,049 [8,   420] Training loss: 0.102
2023-10-19 14:35:26,113 [8,   440] Training loss: 0.076
2023-10-19 14:35:29,280 [8,   460] Training loss: 0.154
2023-10-19 14:35:32,433 [8,   480] Training loss: 0.133
2023-10-19 14:35:35,432 [8,   500] Training loss: 0.186
2023-10-19 14:35:38,423 [8,   520] Training loss: 0.042
2023-10-19 14:35:41,393 [8,   540] Training loss: 0.135
2023-10-19 14:35:44,376 [8,   560] Training loss: 0.069
2023-10-19 14:35:47,465 [8,   580] Training loss: 0.219
2023-10-19 14:35:50,447 [8,   600] Training loss: 0.073
2023-10-19 14:36:47,455 [8,    20] Validation loss: 0.147
2023-10-19 14:36:50,413 [8,    40] Validation loss: 0.031
2023-10-19 14:36:53,352 [8,    60] Validation loss: 0.032
2023-10-19 14:37:57,934 [9,    20] Training loss: 0.093
2023-10-19 14:38:00,912 [9,    40] Training loss: 0.032
2023-10-19 14:38:03,954 [9,    60] Training loss: 0.166
2023-10-19 14:38:07,046 [9,    80] Training loss: 0.086
2023-10-19 14:38:10,183 [9,   100] Training loss: 0.202
2023-10-19 14:38:13,182 [9,   120] Training loss: 0.086
2023-10-19 14:38:16,233 [9,   140] Training loss: 0.156
2023-10-19 14:38:19,333 [9,   160] Training loss: 0.040
2023-10-19 14:38:22,445 [9,   180] Training loss: 0.070
2023-10-19 14:38:25,446 [9,   200] Training loss: 0.113
2023-10-19 14:38:28,575 [9,   220] Training loss: 0.159
2023-10-19 14:38:31,622 [9,   240] Training loss: 0.073
